from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:AMIGENDA2,StopPoint:AMIGENDA1,2,129
StopPoint:AMIGFOY1,StopPoint:AMIGFOY2,2,126
StopPoint:AMIGFOY2,StopPoint:AMIGFOY1,2,126
StopPoint:AMIGBEAUN1,StopPoint:AMIGBEAUN2,2,39
StopPoint:AMIGBEAUN2,StopPoint:AMIGBEAUN1,2,39
StopPoint:AMIGOODY1,StopPoint:AMIGOODY2,2,33
StopPoint:AMIGOODY2,StopPoint:AMIGOODY1,2,33
StopPoint:AMIGORLIN4,StopPoint:AMIGORLIN3,2,34
StopPoint:AMIGORLIN4,StopPoint:AMIGORLIN1,2,121
StopPoint:AMIGORLIN4,StopPoint:AMIGORLIN2,2,86
StopPoint:AMIGORLIN3,StopPoint:AMIGORLIN4,2,34
StopPoint:AMIGORLIN3,StopPoint:AMIGORLIN1,2,145
StopPoint:AMIGORLIN3,StopPoint:AMIGORLIN2,2,112
StopPoint:AMIGORLIN1,StopPoint:AMIGORLIN4,2,121
StopPoint:AMIGORLIN1,StopPoint:AMIGORLIN3,2,145
StopPoint:AMIGORLIN1,StopPoint:AMIGORLIN2,2,35
StopPoint:AMIGORLIN2,StopPoint:AMIGORLIN4,2,86
StopPoint:AMIGORLIN2,StopPoint:AMIGORLIN3,2,112
StopPoint:AMIGORLIN2,StopPoint:AMIGORLIN1,2,35
StopPoint:AMIGRECEN1,StopPoint:AMIGRECEN2,2,17
StopPoint:AMIGRECEN2,StopPoint:AMIGRECEN1,2,17
StopPoint:AMIMADEL1,StopPoint:AMIMADEL2,2,124
StopPoint:AMIMADEL2,StopPoint:AMIMADEL1,2,124
StopPoint:AMILOCKEN1,StopPoint:AMILOCKEN2,2,110
StopPoint:AMILOCKEN2,StopPoint:AMILOCKEN1,2,110
StopPoint:AMIHIPPON1,StopPoint:AMIHIPPON2,2,53
StopPoint:AMIHIPPON2,StopPoint:AMIHIPPON1,2,53
StopPoint:AMIHNORD1,StopPoint:AMIHNORD2,2,128
StopPoint:AMIHNORD2,StopPoint:AMIHNORD1,2,128
StopPoint:AMIPBEAUN1,StopPoint:AMIPBEAUN2,2,216
StopPoint:AMIPBEAUN2,StopPoint:AMIPBEAUN1,2,216
StopPoint:AMIHIMPON1,StopPoint:AMIHIMPON2,2,37
StopPoint:AMIHIMPON2,StopPoint:AMIHIMPON1,2,37
StopPoint:AMIILOT1,StopPoint:AMIILOT2,2,82
